course_code,course_title,semester,section,theory,lab,credit,teachers
ENG 0002,English Fundamentals,1st,A,,,,
ENG 0002,English Fundamentals,1st,B,,,,
ENG 0002,English Fundamentals,1st,C,,,,
ENG 0002,English Fundamentals,1st,D,,,,
ENG 0002,English Fundamentals,1st,E,,,,
ENG 0002,English Fundamentals,1st,F,,,,
MAT 1141,Diff. and Int. Calculus,1st,A,3.0,,3.0,[MR]
MAT 1141,Diff. and Int. Calculus,1st,B,3.0,,3.0,[MR]
MAT 1141,Diff. and Int. Calculus,1st,C,3.0,,3.0,[MR]
MAT 1141,Diff. and Int. Calculus,1st,D,3.0,,3.0,[MR]
MAT 1141,Diff. and Int. Calculus,1st,E,3.0,,3.0,[MR]
MAT 1141,Diff. and Int. Calculus,1st,F,3.0,,3.0,[MMH]
PHY 1151,Basic Physics,1st,A,3.0,,3.0,[RA]
PHY 1151,Basic Physics,1st,B,3.0,,3.0,[RA]
PHY 1151,Basic Physics,1st,C,3.0,,3.0,[NI]
PHY 1151,Basic Physics,1st,D,3.0,,3.0,[NI]
PHY 1151,Basic Physics,1st,E,3.0,,3.0,[NI]
PHY 1151,Basic Physics,1st,F,3.0,,3.0,[NI]
PHY 1152,Basic Physics Lab,1st,A,,1.5,3.0,[JF] [RA]
PHY 1152,Basic Physics Lab,1st,B,,1.5,3.0,[JF] [RA]
PHY 1152,Basic Physics Lab,1st,C,,1.5,3.0,[RA] [NI]
PHY 1152,Basic Physics Lab,1st,D,,1.5,3.0,[RA] [NI]
PHY 1152,Basic Physics Lab,1st,E,,1.5,3.0,[MTK] [NI]
PHY 1152,Basic Physics Lab,1st,F,,1.5,3.0,[MTK] [NI]
EEE 1131,Basic Electrical Circuits,1st,A,3.0,,3.0,[MBI]
EEE 1131,Basic Electrical Circuits,1st,B,3.0,,3.0,[JH]
EEE 1131,Basic Electrical Circuits,1st,C,3.0,,3.0,[AHP]
EEE 1131,Basic Electrical Circuits,1st,D,3.0,,3.0,[ZR]
EEE 1131,Basic Electrical Circuits,1st,E,3.0,,3.0,[ZR]
EEE 1131,Basic Electrical Circuits,1st,F,3.0,,3.0,[ZR]
EEE 1132,Basic Electrical Circuits Lab,1st,A,,1.5,3.0,[AHP] [MRA]
EEE 1132,Basic Electrical Circuits Lab,1st,B,,1.5,3.0,[AHP] [ZR]
EEE 1132,Basic Electrical Circuits Lab,1st,C,,1.5,3.0,[AHP] [ZR]
EEE 1132,Basic Electrical Circuits Lab,1st,D,,1.5,3.0,[ZR] [MRA]
EEE 1132,Basic Electrical Circuits Lab,1st,E,,1.5,3.0,[AHP] [ZR]
EEE 1132,Basic Electrical Circuits Lab,1st,F,,1.5,3.0,[ZR] [MRA]
CSE 1100,Computer Fundamentals Lab,1st,A,,1.5,3.0,[MTI] [MH]
CSE 1100,Computer Fundamentals Lab,1st,B,,1.5,3.0,[MTI] [MH]
CSE 1100,Computer Fundamentals Lab,1st,C,,1.5,3.0,[MH] [SRR]
CSE 1100,Computer Fundamentals Lab,1st,D,,1.5,3.0,[MH] [SRR]
CSE 1100,Computer Fundamentals Lab,1st,E,,1.5,3.0,[SRR] [MKS]
CSE 1100,Computer Fundamentals Lab,1st,F,,1.5,3.0,[SAS] [SRR]
CHE 1161,Chemistry,1st,A,2.0,,3.0,[SP]
CHE 1161,Chemistry,1st,B,2.0,,3.0,[SP]
CHE 1161,Chemistry,1st,C,2.0,,3.0,[SP]
CHE 1161,Chemistry,1st,D,2.0,,3.0,[SP]
CHE 1161,Chemistry,1st,E,2.0,,3.0,[SP]
CHE 1161,Chemistry,1st,F,2.0,,3.0,[SP]
CSE 1201,Structured Programming Language,2nd,A,3.0,,3.0,[AAP]
CSE 1201,Structured Programming Language,2nd,B,3.0,,3.0,[AAP]
CSE 1201,Structured Programming Language,2nd,C,3.0,,3.0,[AAP]
CSE 1202,Structured Programming Language Lab,2nd,A,,2.25,4.5,[AAP] [AI]
CSE 1202,Structured Programming Language Lab,2nd,B,,2.25,4.5,[AW] [AAP]
CSE 1202,Structured Programming Language Lab,2nd,C,,2.25,4.5,[AW] [AAP]
CSE 1203,Discrete Mathematics,2nd,A,3.0,,3.0,[SKC]
CSE 1203,Discrete Mathematics,2nd,B,3.0,,3.0,[URC]
CSE 1203,Discrete Mathematics,2nd,C,3.0,,3.0,[JF]
EEE 1231,Electronic Devices and Circuits,2nd,A,3.0,,3.0,[ITR]
EEE 1231,Electronic Devices and Circuits,2nd,B,3.0,,3.0,[ITR]
EEE 1231,Electronic Devices and Circuits,2nd,C,3.0,,3.0,[ITR]
EEE 1232,Electronic Devices and Circuits Lab,2nd,A,,1.5,3.0,[ITR] [ZR]
EEE 1232,Electronic Devices and Circuits Lab,2nd,B,,1.5,3.0,[ITR] [MRA]
EEE 1232,Electronic Devices and Circuits Lab,2nd,C,,1.5,3.0,[ITR] [MRA]
MAT 1241,Coordinate Geometry and Vector Analysis,2nd,A,3.0,,3.0,[MMH]
MAT 1241,Coordinate Geometry and Vector Analysis,2nd,B,3.0,,3.0,[MMH]
MAT 1241,Coordinate Geometry and Vector Analysis,2nd,C,3.0,,3.0,[MMH]
BAN 0001,History of the Emergence of Bangladesh ,2nd,A,,,,
BAN 0001,History of the Emergence of Bangladesh ,2nd,B,,,,
BAN 0001,History of the Emergence of Bangladesh ,2nd,C,,,,
ECO 1271,Engineering Economics,2nd,A,,,,
ECO 1271,Engineering Economics,2nd,B,,,,
ECO 1271,Engineering Economics,2nd,C,,,,
CSE 2101,Object Oriented Programming,3rd,A,3.0,,3.0,[DH]
CSE 2101,Object Oriented Programming,3rd,B,3.0,,3.0,[AAA]
CSE 2101,Object Oriented Programming,3rd,C,3.0,,3.0,[DH]
CSE 2101,Object Oriented Programming,3rd,D,3.0,,3.0,[AAA]
CSE 2101,Object Oriented Programming,3rd,E,3.0,,3.0,[DH]
CSE 2101,Object Oriented Programming,3rd,F,3.0,,3.0,[BCH]
CSE 2101,Object Oriented Programming,3rd,G,3.0,,3.0,[BCH]
CSE 2102,Object Oriented Programming Lab,3rd,A,,2.25,4.5,[DH] [NN]
CSE 2102,Object Oriented Programming Lab,3rd,B,,2.25,4.5,[AAA] [FIL]
CSE 2102,Object Oriented Programming Lab,3rd,C,,2.25,4.5,[DH] [NN]
CSE 2102,Object Oriented Programming Lab,3rd,D,,2.25,4.5,[AAA] [FIL]
CSE 2102,Object Oriented Programming Lab,3rd,E,,2.25,4.5,[DH] [MFA]
CSE 2102,Object Oriented Programming Lab,3rd,F,,2.25,4.5,[DH] [BCH]
CSE 2102,Object Oriented Programming Lab,3rd,G,,2.25,4.5,[NN] [BCH]
CSE 2103,Data Structures,3rd,A,3.0,,3.0,[GR]
CSE 2103,Data Structures,3rd,B,3.0,,3.0,[SMT]
CSE 2103,Data Structures,3rd,C,3.0,,3.0,[SMT]
CSE 2103,Data Structures,3rd,D,3.0,,3.0,[SMT]
CSE 2103,Data Structures,3rd,E,3.0,,3.0,[AI]
CSE 2103,Data Structures,3rd,F,3.0,,3.0,[AI]
CSE 2103,Data Structures,3rd,G,3.0,,3.0,[AI]
CSE 2104,Data Structures Lab,3rd,A,,2.25,4.5,[URC] [AAP]
CSE 2104,Data Structures Lab,3rd,B,,2.25,4.5,[SMT] [SMH]
CSE 2104,Data Structures Lab,3rd,C,,2.25,4.5,[URC] [SMT]
CSE 2104,Data Structures Lab,3rd,D,,2.25,4.5,[URC] [SMT]
CSE 2104,Data Structures Lab,3rd,E,,2.25,4.5,[ST] [AI]
CSE 2104,Data Structures Lab,3rd,F,,2.25,4.5,[IJR] [AI]
CSE 2104,Data Structures Lab,3rd,G,,2.25,4.5,[IJR] [AI]
CSE 2105,Digital System Design,3rd,A,3.0,,3.0,[SAL]
CSE 2105,Digital System Design,3rd,B,3.0,,3.0,[SAL]
CSE 2105,Digital System Design,3rd,C,3.0,,3.0,[SAL]
CSE 2105,Digital System Design,3rd,D,3.0,,3.0,[SAL]
CSE 2105,Digital System Design,3rd,E,3.0,,3.0,[ZM]
CSE 2105,Digital System Design,3rd,F,3.0,,3.0,[ZM]
CSE 2105,Digital System Design,3rd,G,3.0,,3.0,[ZM]
CSE 2106,Digital System Design Lab,3rd,A,,1.5,3.0,[SAL] [DMA]
CSE 2106,Digital System Design Lab,3rd,B,,1.5,3.0,[SAL] [DMA]
CSE 2106,Digital System Design Lab,3rd,C,,1.5,3.0,[SAL] [DMA]
CSE 2106,Digital System Design Lab,3rd,D,,1.5,3.0,[SAL] [TSS]
CSE 2106,Digital System Design Lab,3rd,E,,1.5,3.0,[JF] [ZM]
CSE 2106,Digital System Design Lab,3rd,F,,1.5,3.0,[JF] [ZM]
CSE 2106,Digital System Design Lab,3rd,G,,1.5,3.0,[JF] [ZM]
MAT 2141,Differential Equations,3rd,A,3.0,,3.0,[ASB]
MAT 2141,Differential Equations,3rd,B,3.0,,3.0,[ASB]
MAT 2141,Differential Equations,3rd,C,3.0,,3.0,[ASB]
MAT 2141,Differential Equations,3rd,D,3.0,,3.0,[SMM]
MAT 2141,Differential Equations,3rd,E,3.0,,3.0,[SMM]
